Prospectus ID,Original Filename,Section ID,Section Title,Subsection ID,Subsection Title,Subsubsection ID,Subsubsection Title,Subsubsection Text,Parsing Error,From Folder,Prospectus Year,PDF Page Count
1278_2,Offerings 2020.md,1011,OFFERING MEMORANDUM** **CONFIDENTIAL,1011.1,Investing in the Notes involves risks. See “Risk factors” beginning on page 5 of this offering memorandum.,1011.1.1,,"The Notes have not been registered under the Securities Act of 1933, as amended, or the Securities Act, or the securities laws of any other jurisdiction. Unless they are registered, the Notes may be offered only in transactions that are exempt from registration under the Securities Act or the securities laws of any other jurisdiction. Accordingly, Iron Mountain is offering the Notes only to persons reasonably believed to be qualified institutional buyers in compliance with Rule 144A under the Securities Act, or Rule 144A, and outside the U.S. to non-U.S. persons in compliance with Regulation S under the Securities Act, or Regulation S. For further details about eligible offerees and resale restrictions, see “Notice to investors” and “Transfer restrictions.” Iron Mountain expects that delivery of the Notes will be made to purchasers in book-entry form through The Depository Trust Company, or DTC, on or about, 2020. _Joint lead book-running managers_ ### Barclays Goldman Sachs & Co. LLC HSBC J.P. Morgan _Joint book-running managers_ #### BofA Securities Credit Agricole CIB Morgan Stanley MUFG Wells Fargo Securities _Co-managers_",N/A,as_expected,2020,87
1278_2,Offerings 2020.md,1011,OFFERING MEMORANDUM** **CONFIDENTIAL,1011.2,Citizens Capital Markets** **PNC Capital Markets LLC** **RBC Capital Markets** **Scotiabank TD Securities** **Truist Securities,1011.2.1,,"----- In making your investment decision, you should rely only on the information contained or incorporated by reference in this offering memorandum. We and the initial purchasers have not authorized anyone to provide you with any other information. We take no responsibility for, and can provide no assurance as to the reliability of, any other information that others may give you. If you receive any other information, you should not rely on it. We and the initial purchasers are offering to sell the Notes only in places where offers and sales are permitted. You should not assume that the information contained or incorporated by reference in this offering memorandum is accurate as of any date other than the date on the front cover of this offering memorandum or that the information incorporated by reference in this offering memorandum is accurate as of any date other than the date of the incorporated document. Our business, financial condition, results of operations and prospects may have changed since those respective dates. Neither the delivery of this offering memorandum nor any sale made hereunder shall under any circumstances imply that the information herein is correct as of any date subsequent to the date on the cover of this offering memorandum.",N/A,as_expected,2020,87
1278_2,Offerings 2020.md,1011,OFFERING MEMORANDUM** **CONFIDENTIAL,1011.3,TABLE OF CONTENTS Page,1011.3.1,,"ABOUT THIS OFFERING MEMORANDUM . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ii NOTICE TO INVESTORS . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ii CAUTIONARY NOTE REGARDING FORWARD-LOOKING STATEMENTS . . . . . . . . . . . . v WHERE YOU CAN FIND MORE INFORMATION; INFORMATION INCORPORATED BY REFERENCE . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . vii SUMMARY . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 1 THE OFFERING . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 2 RISK FACTORS . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 5 USE OF PROCEEDS . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 11 CAPITALIZATION . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 12 DESCRIPTION OF THE NOTES . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 14 CERTAIN U.S. FEDERAL INCOME TAX CONSIDERATIONS . . . . . . . . . . . . . . . . . . . . . . . 63 CERTAIN ERISA CONSIDERATIONS . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 68 PLAN OF DISTRIBUTION . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 71 TRANSFER RESTRICTIONS . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 76 LEGAL MATTERS . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 78 INDEPENDENT REGISTERED PUBLIC ACCOUNTING FIRM . . . . . . . . . . . . . . . . . . . . . . 78 _All references to “Iron Mountain” in this offering memorandum are to Iron Mountain Incorporated and not any of its subsidiaries (unless otherwise indicated or the context otherwise requires). Unless otherwise indicated or the context otherwise requires, all references to “we,” “us” or “our” in this offering memorandum are to Iron Mountain and the Subsidiary Guarantors, other than under the captions “Cautionary note regarding forward-looking statements” and “Summary” where these references are to Iron Mountain and all of its consolidated subsidiaries, including the Subsidiary Guarantors._ -----",N/A,as_expected,2020,87
1278_2,Offerings 2020.md,1011,OFFERING MEMORANDUM** **CONFIDENTIAL,1011.4,,1011.4.1,,"# Iron Mountain Incorporated ## $850,000,000 % Senior Notes due 2031",N/A,as_expected,2020,87
1278_2,Offerings 2020.md,1012,ABOUT THIS OFFERING MEMORANDUM,1012.1,,1012.1.1,,"_This offering memorandum is confidential. You are authorized to use this offering memorandum solely for the purpose of considering the purchase of the Notes described in this offering memorandum. Iron Mountain and other sources identified herein have provided the information contained in this offering memorandum. The initial purchasers named herein make no representation or warranty, expressed or implied, as to the accuracy or completeness of such information, and nothing contained in this offering memorandum is, or shall be relied upon as, a promise or representation by the initial purchasers. You may not reproduce or distribute this offering memorandum, in whole or in part, and you may not disclose any of the contents of this offering memorandum or use any information herein for any purpose other than considering the purchase of the Notes. You agree to the foregoing by accepting delivery of this offering memorandum._",N/A,as_expected,2020,87
1278_2,Offerings 2020.md,2667,"THE SECURITIES OFFERED HEREBY HAVE NOT BEEN RECOMMENDED BY ANY FEDERAL, STATE OR FOREIGN SECURITIES COMMISSION OR REGULATORY AUTHORITY. FURTHERMORE, THE FOREGOING AUTHORITIES HAVE NOT REVIEWED THIS DOCUMENT, CONFIRMED THE ACCURACY OR DETERMINED THE MERITS OR ADEQUACY OF THIS DOCUMENT. ANY REPRESENTATION TO THE CONTRARY IS A CRIMINAL OFFENSE.",2667.1,,2667.1.1,,"The distribution of this offering memorandum and the offering and sale of the Notes in certain jurisdictions may be restricted by law. Iron Mountain and the initial purchasers require persons in whose possession this offering memorandum comes to inform themselves about and to observe any such restrictions. This offering memorandum does not constitute an offer of, or an invitation to purchase, the Notes in any jurisdiction in which such offer or invitation would be unlawful.",N/A,as_expected,2020,87
1278_2,Offerings 2020.md,26,NOTICE TO INVESTORS,26.1,"In making your investment decision, you will be deemed to have made certain acknowledgements, representations and agreements as set forth under the caption “Transfer restrictions.” The Notes are subject to restrictions on transferability and resale and may not be transferred or resold except as permitted under the",26.1.1,,-----,N/A,as_expected,2020,87
1278_2,Offerings 2020.md,26,NOTICE TO INVESTORS,26.2,Securities Act and applicable state and foreign securities laws pursuant to registration thereunder or exemption therefrom. See “Transfer restrictions.” You should be aware that you may be required to bear the financial risks of this investment for an indefinite period of time.,26.2.1,,"No person is authorized in connection with any offering made by this offering memorandum to give any information or to make any representation not contained in this offering memorandum, including information incorporated herein by reference, and, if given or made, any other information or representation must not be relied upon as having been authorized by Iron Mountain or the initial purchasers. The information contained in this offering memorandum, including information incorporated herein by reference, is as of the date hereof and subject to change, completion or amendment without notice. Neither the delivery of this offering memorandum at any time nor any subsequent commitment to enter into any financing shall, under any circumstances, create any implication that there has been no change in the information set forth in this offering memorandum, including information incorporated herein by reference, or in our affairs since the date hereof. Iron Mountain reserves the right to withdraw this offering at any time. This offering is subject to the terms described in this offering memorandum and the indenture relating to the Notes. This offering memorandum does not constitute an offer to sell the Notes to or a solicitation of an offer to buy the Notes from any person in any jurisdiction where it is unlawful to make such an offer or solicitation. The distribution of this offering memorandum and the offer and sale of the Notes may be restricted by law in certain jurisdictions. Persons into whose possession this offering memorandum or any of the Notes come must inform themselves about and observe any such restrictions. You must comply with all applicable laws and regulations (including obtaining required consents, approvals and permissions) in any jurisdiction in which you possess or distribute this offering memorandum or in which you purchase, offer or sell the Notes. Iron Mountain does not have any responsibility therefor. See “Transfer restrictions.” The Notes will be available in book-entry form only. The Notes sold pursuant to this offering memorandum will be issued in the form of one or more global certificates, which will be deposited with, or on behalf of, DTC, as depositary, and registered in the name of Cede & Co., the nominee of DTC. Beneficial interests in the global certificates will be shown on, and transfers of the global certificates will be effected only through, records maintained by DTC. After the initial issuance of the global certificates, Notes in certificated form will be issued in exchange for the global certificates only as set forth in the indenture relating to the Notes. Each prospective purchaser of the Notes must comply with all applicable laws and regulations in force in any jurisdiction in which it purchases, offers or sells the Notes and must obtain any consent, approval or permission required by it for the purchase, offer or sale by it of the Notes under the laws and regulations in force in any jurisdiction to which it is subject or in which it makes such purchases, offers or sales, and neither Iron Mountain nor the initial purchasers shall have any responsibility therefor. In connection with this offering, the initial purchasers may engage in transactions that stabilize, maintain or otherwise affect the price of the Notes at levels that might not otherwise prevail in the open market. This stabilizing, if commenced, may be discontinued at any time. See “Plan of distribution.” It is expected that delivery of the Notes will be made against payment therefor on or about the closing date specified on the cover page of this offering memorandum, which is the business day following the date of this offering memorandum (such settlement cycle being referred to as “T+ ”). Under Rule 15c6-1 under the Exchange Act, trades in the secondary market generally are required to settle in two business days unless the parties to any such trade expressly agree otherwise. Accordingly, purchasers who wish to trade the Notes before the second business day prior to the closing date specified on the cover page of this offering memorandum will be required, by virtue of the fact that the Notes initially will settle in T+, to specify an alternative settlement cycle at the time of any such trade to prevent a failed settlement. Purchasers who wish to trade the Notes prior to their date of delivery hereunder should consult their own advisors. References in this offering memorandum to “U.S. Dollars” and “$” are to the currency of the United States of America, references to “CAD” or “C$” are to the currency of Canada, and references to “€” and ----- “Euro” are to the single currency introduced at the third stage of the European Monetary Union pursuant to the Treaty establishing the European Community, as amended. The information in relation to the Existing Euro Notes and the Existing CAD Notes (each as defined herein) in this offering memorandum reflects the exchange rates used in the preparation of our Second Quarter Report. We make no representation that the U.S. Dollar, CAD or Euro amounts referred to in this offering memorandum have been, could have been or could, in the future, be converted into U.S. Dollars, CAD or euro, as the case may be, at any particular rate, if at all. -----",N/A,as_expected,2020,87
1278_2,Offerings 2020.md,26,NOTICE TO INVESTORS,26.3,,26.3.1,,"You must comply with all applicable laws and regulations in connection with the distribution of this offering memorandum and the offer or sale of the Notes. See “Transfer restrictions.” You are not to construe the contents of this offering memorandum as investment, legal or tax advice. You should consult your own counsel, accountant and other advisors as to legal, tax, business, financial and related aspects of a purchase of the Notes. Neither Iron Mountain nor the initial purchasers are making any representation to you regarding the legality of an investment in the Notes by you under applicable laws. In making an investment decision regarding the Notes, you must rely on your own examination of us and the terms of this offering, including, without limitation, the merits and risks involved. This offering is being made on the basis of this offering memorandum. Any decision to purchase Notes in this offering must be based on the information contained in this offering memorandum, including information incorporated herein by reference. This offering memorandum is being provided on a confidential basis (1) to persons reasonably believed to be “qualified institutional buyers” for informational use solely in connection with their consideration of the purchase of the Notes and (2) to non-U.S. persons in an offshore transaction complying with Rule 904 under the Securities Act. Its use for any other purpose is not authorized. This offering memorandum may not be copied or reproduced in whole or in part, nor may it be distributed or any of its contents be disclosed to anyone other than the prospective investors to whom it is being provided. By accepting delivery, you also acknowledge that this offering memorandum contains confidential information and you agree that the use of this information for any purpose other than considering an investment in the Notes is strictly prohibited. This offering memorandum contains summaries, believed to be accurate, of some of the terms of specific documents, but reference is made to the actual documents, copies of which will be made available upon request, for the complete information contained in those documents, as indicated under “Where you can find more information; information incorporated by reference.” All summaries are qualified in their entirety by this reference.",N/A,as_expected,2020,87
1278_2,Offerings 2020.md,269,CAUTIONARY NOTE REGARDING FORWARD-LOOKING STATEMENTS,269.1,,269.1.1,,"We have made statements in this offering memorandum and the documents incorporated by reference herein that constitute “forward-looking statements” as that term is defined in the Private Securities Litigation Reform Act of 1995 and other securities laws. These forward-looking statements concern our operations, economic performance, financial condition, goals, beliefs, future growth strategies, investment objectives, plans and current expectations, such as our (1) commitment to future dividend payments, (2) expected change in volume of records stored with us, (3) expectations that profits will increase in our growth portfolio, including our higher-growth markets, and that our growth portfolio will become a larger part of our business over time, (4) expectations related to our revenue management programs and continuous improvement initiatives, (5) expectations related to our leverage ratio and capital requirements, (6) expected ability to identify and complete acquisitions and drive returns on invested capital, (7) anticipated capital expenditures, (8) expectations and assumptions regarding the possible impact from the COVID-19 pandemic on us and our customers, including on our businesses, financial position, results of operations and cash flows and the goodwill associated with our reporting units and (9) expected benefits, costs and actions related to, and timing of, Project Summit, our global program designed to better position us for future growth and achievement of our strategic objectives, announced in October 2019. These forward-looking statements are subject to various known and unknown risks, uncertainties and other factors. When we use words such as “believe,” “expect,” “anticipate,” “estimate” or similar expressions, we are making forward-looking statements. Although we believe that our forward-looking statements are based on reasonable assumptions, our expected results may not be achieved, and actual results may differ materially from our expectations. In addition, important factors that could cause actual results to differ from expectations include, among others: - the severity and duration of the COVID-19 pandemic and its effects on the global economy, including its effects on us, the markets we serve and our customers and the third parties with whom we do business within those markets; - our ability to remain qualified for taxation as a real estate investment trust for U.S. federal income tax purposes, or REIT; - the adoption of alternative technologies and shifts by our customers to storage of data through nonpaper based technologies; - changes in customer preferences and demand for our storage and information management services; - our ability or inability to execute our strategic growth plan, expand internationally, complete acquisitions on satisfactory terms, and to integrate acquired companies efficiently; - changes in the amount of our growth and maintenance capital expenditures and our ability to raise capital and invest according to plan; - our ability to execute on Project Summit and the potential impacts of Project Summit on our ability to retain and recruit employees and execute on our strategy; - the cost and our ability to comply with laws, regulations and customer demands relating to data security and privacy issues, as well as fire and safety standards; - the impact of litigation or disputes that may arise in connection with incidents in which we fail to protect our customers’ information or our internal records or information technology, or IT, systems and the impact of such incidents on our reputation and ability to compete; - changes in the price for our storage and information management services relative to the cost of providing such storage and information management services; - changes in the political and economic environments in the countries in which our international subsidiaries operate and changes in the global political climate; - the impact of executing on our growth strategy through joint ventures; - our ability to comply with our existing debt obligations and restrictions in our debt instruments or to obtain additional financing to meet our working capital needs; ----- - the impact of service interruptions or equipment damage and the cost of power on our data center operations; - changes in the cost of our debt; - the impact of alternative, more attractive investments on dividends; - the cost or potential liabilities associated with real estate necessary for our business; - the performance of business partners upon whom we depend for technical assistance or management expertise; and - other trends in competitive or economic conditions affecting our financial condition or results of operations not presently contemplated. Other important factors that could cause actual results to differ materially from those contained in our forward-looking statements are described more fully in the Annual Report and in the Quarter Reports (each as defined herein), including those described under the caption “Risk Factors,” and in Iron Mountain’s other reports filed from time to time with the SEC. These cautionary statements should not be construed by you to be exhaustive, and they are made only as of the date of this offering memorandum. You should not rely upon forward-looking statements except as statements of our present intentions and of our present expectations, which may or may not occur. You should read these cautionary statements as being applicable to all forward-looking statements wherever they appear. Except as required by law, we undertake no obligation to release publicly the result of any revision to these forward-looking statements that may be made to reflect events or circumstances after the date hereof or to reflect the occurrence of unanticipated events or otherwise. Readers are also urged to carefully review and consider the various disclosures we have made or incorporated by reference in this offering memorandum, as well as Iron Mountain’s other periodic reports filed with the SEC. -----",N/A,as_expected,2020,87
